yyyy-mm-dd hh:mm:ss.mmmmmm,x [dps],y [dps],z [dps]
2021-09-12 09:18:18.673518,-1.541, 0.145,-0.969
2021-09-12 09:18:18.773724,-1.266, 0.351,-0.977
2021-09-12 09:18:18.873926,-1.160, 0.397,-1.114
2021-09-12 09:18:18.974129,-1.289, 0.221,-0.992
2021-09-12 09:18:19.074338,-1.366, 0.519,-0.870
2021-09-12 09:18:19.174550,-1.556, 0.290,-0.916
2021-09-12 09:18:19.274749,-1.419, 0.305,-0.900
2021-09-12 09:18:19.374914,-1.389, 0.259,-0.679
2021-09-12 09:18:19.475062,-1.579, 0.359,-1.030
2021-09-12 09:18:19.575196,-1.312, 0.305,-0.755
2021-09-12 09:18:19.675333,-1.511, 0.313,-0.961
2021-09-12 09:18:19.775470,-1.411, 0.267,-1.221
2021-09-12 09:18:19.875605,-1.503, 0.053,-0.999
2021-09-12 09:18:19.975757,-1.656,-1.945,-0.923
2021-09-12 09:18:20.075940,-1.221, 0.015,-1.068
2021-09-12 09:18:20.176126,-1.595, 0.214,-0.641
2021-09-12 09:18:20.276338,-1.488, 0.092,-0.801
2021-09-12 09:18:20.376543,-1.480, 0.107,-0.763
2021-09-12 09:18:20.476765,-1.526, 0.053,-1.053
2021-09-12 09:18:20.577046,-1.190, 0.061,-0.977
2021-09-12 09:18:20.677276,-1.526, 0.488,-0.877
2021-09-12 09:18:20.777528,-1.312, 0.252,-0.908
2021-09-12 09:18:20.877787,-1.366, 0.465,-0.931
2021-09-12 09:18:20.977989,-1.312, 0.282,-0.877
