yyyy-mm-dd hh:mm:ss.mmmmmm,x [g],y [g],z [g]
2021-09-14 06:08:58.823427, 0.002, 0.078, 0.996
2021-09-14 06:08:58.923675, 0.008, 0.078, 1.000
2021-09-14 06:08:59.023886, 0.006, 0.080, 0.992
2021-09-14 06:08:59.124108, 0.003, 0.079, 1.015
2021-09-14 06:08:59.224334, 0.005, 0.080, 1.007
2021-09-14 06:08:59.324714, 0.008, 0.079, 0.999
2021-09-14 06:08:59.425026, 0.004, 0.076, 1.000
2021-09-14 06:08:59.525270, 0.006, 0.084, 0.986
2021-09-14 06:08:59.625516, 0.004, 0.080, 0.997
2021-09-14 06:08:59.725735, 0.008, 0.077, 0.987
2021-09-14 06:08:59.825948, 0.001, 0.081, 0.994
2021-09-14 06:08:59.926159, 0.004, 0.080, 1.004
2021-09-14 06:09:00.026454, 0.005, 0.079, 1.006
2021-09-14 06:09:00.126683, 0.008, 0.079, 1.000
2021-09-14 06:09:00.226929, 0.005, 0.075, 0.994
2021-09-14 06:09:00.327144, 0.009, 0.054, 0.990
2021-09-14 06:09:00.427355, 0.006, 0.086, 0.996
2021-09-14 06:09:00.527561, 0.005, 0.083, 0.994
2021-09-14 06:09:00.627772, 0.004, 0.082, 0.986
2021-09-14 06:09:00.727994, 0.005, 0.074, 0.997
2021-09-14 06:09:00.828233, 0.002, 0.076, 0.997
2021-09-14 06:09:00.928472, 0.005, 0.082, 1.000
2021-09-14 06:09:01.028656, 0.007, 0.079, 0.998
2021-09-14 06:09:01.128821, 0.001, 0.084, 0.999
2021-09-14 06:09:01.228976, 0.003, 0.078, 1.000
2021-09-14 06:09:01.329129, 0.000, 0.080, 0.997
2021-09-14 06:09:01.429293, 0.005, 0.077, 1.002
2021-09-14 06:09:01.529439, 0.007, 0.080, 0.999
2021-09-14 06:09:01.629610, 0.006, 0.081, 0.987
2021-09-14 06:09:01.729818, 0.005, 0.079, 0.998
2021-09-14 06:09:01.830001, 0.006, 0.081, 1.015
2021-09-14 06:09:01.930159, 0.004, 0.078, 0.990
2021-09-14 06:09:02.030322, 0.007, 0.076, 0.991
2021-09-14 06:09:02.130466, 0.007, 0.082, 0.999
2021-09-14 06:09:02.230614, 0.007, 0.076, 1.000
2021-09-14 06:09:02.330759, 0.006, 0.063, 0.996
2021-09-14 06:09:02.430897, 0.004, 0.083, 0.985
2021-09-14 06:09:02.531076, 0.009, 0.077, 0.991
2021-09-14 06:09:02.631281, 0.010, 0.079, 1.013
2021-09-14 06:09:02.731476, 0.003, 0.079, 0.995
2021-09-14 06:09:02.831661, 0.007, 0.081, 1.011
2021-09-14 06:09:02.931873, 0.007, 0.077, 0.999
2021-09-14 06:09:03.032098, 0.004, 0.079, 0.998
2021-09-14 06:09:03.132332, 0.006, 0.080, 1.002
2021-09-14 06:09:03.232568, 0.002, 0.079, 0.986
2021-09-14 06:09:03.332786, 0.006, 0.077, 0.999
